condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates,continued_after_choice,observation_distance_mm,observation_end_s,termination_reason
dan_silenced,0,B,True,1.1913,28.740993839752644,right,3329053876,3645748255,28.49253623593803,-1.970522434135223,0.0,0.555733971191482,False,20000,500,True,47.544907490449006,2.0,test_window_complete
dan_silenced,1,B,True,0.8625,21.09663730327359,right,2134191843,3792606954,26.185339069465062,4.424774158775272,0.0,0.5372747851975769,False,20000,500,True,47.69391642922198,2.0,test_window_complete
dan_silenced,2,B,True,0.8585,20.99150615123948,right,2436437895,1151155471,27.70339134197311,3.0871571452248343,0.0,0.544927240896571,False,20000,500,True,47.77466393202919,2.0,test_window_complete
dan_silenced,3,A,True,0.8659,21.17240167433416,right,13771258,2682531787,27.193745320171452,8.756632593637672,0.0,0.55400211871458,False,20000,500,True,47.75600935928747,2.0,test_window_complete
dan_silenced,4,B,True,0.9756,23.721201935447066,right,1462229373,3921964068,21.513452030468727,-17.138028066186862,0.0,0.5450723061840478,False,20000,500,True,48.17527492237109,2.0,test_window_complete
dan_silenced,5,B,True,1.4400000000000002,34.43760302220954,right,2248537184,3855881369,28.532876002634744,-2.2076647425534612,0.0,0.5546511998616763,False,20000,500,True,47.33042936983742,2.0,test_window_complete
dan_silenced,6,none,False,,47.734611264929754,left,2188516665,429466934,28.067868063861322,2.2251118533500005,0.0,0.5580886745442423,False,20000,500,True,47.734611264929754,2.0,test_window_complete
dan_silenced,7,A,True,0.9374,22.857446449667894,right,2737586632,4072755056,21.997818995020086,17.18413838606011,0.0,0.5802506557125003,False,20000,500,True,47.89757384103206,2.0,test_window_complete
dan_silenced,8,A,True,0.9404,22.926840895889267,left,1636764939,2234664573,25.34607280591233,-11.47174414548559,0.0,0.5392199618385041,False,20000,500,True,47.830968798787296,2.0,test_window_complete
dan_silenced,9,A,True,0.9463,23.062074649063145,left,4029204688,2943480381,27.107757969633777,-1.9010557453758747,0.0,0.5384491948334147,False,20000,500,True,47.66801988565055,2.0,test_window_complete
dan_silenced,10,B,True,1.0986,26.56541800626655,right,2052318847,3610168554,23.217824730395353,-12.900065638025717,0.0,0.5552478378830252,False,20000,500,True,47.997120573262734,2.0,test_window_complete
dan_silenced,11,none,False,,47.57657240094492,right,754147613,4083946371,28.6319465561874,-0.8028204839776093,0.0,0.5248138792215905,False,20000,500,True,47.57657240094492,2.0,test_window_complete
dan_silenced,12,A,True,0.9439000000000001,22.95559227641638,left,2638278883,2512852426,24.38470705452177,-12.428507509238894,0.0,0.554333564300758,False,20000,500,True,47.75225009805919,2.0,test_window_complete
