condition,fly_id,choice,completed,latency_s,distance_mm,odor_b_side,random_seed,circuit_seed,last_x_mm,last_y_mm,weight_a,weight_b,physical_training,physics_ticks,control_updates
paired,0,B,True,0.8779,21.457817953585494,right,3329053876,3645748255,12.001082369111975,-2.7656876478836834,0.0,0.555733971191482,True,38779,388
unpaired,0,B,True,0.8848,21.59731998519921,right,955475868,2752441786,12.001144362535014,-3.7519957816724094,0.0,0.0,True,38848,389
untrained,0,none,False,,47.6534262766319,left,3444837047,2669555309,28.459643210513956,-2.2278922118671494,0.0,0.0,True,50000,500
