condition,fly_id,choice,chose_b,odor_b_side,latency_s,distance,completed,weight_a,weight_b,random_seed
untrained,63,B,True,left,21.0,3.07663365321658,False,0.0,0.0,16535325044774568315
untrained,64,B,True,right,16.0,2.0945582283466857,True,0.0,0.0,8463967512782265558
untrained,65,A,False,right,17.900000000000002,2.1705938114901158,True,0.0,0.0,7893402392441194802
untrained,66,A,False,right,21.0,2.116862458050931,False,0.0,0.0,7287332589393589429
untrained,67,B,True,left,17.5,2.1884187906286194,True,0.0,0.0,17950198403752669731
untrained,68,A,False,right,21.0,2.6713764464282885,False,0.0,0.0,14638304689081304938
untrained,69,A,False,left,21.0,2.4814333993296502,False,0.0,0.0,13848663046385014473
untrained,70,B,True,left,21.0,2.6424814256176883,False,0.0,0.0,4517697189298391147
untrained,71,A,False,left,21.0,2.824709699882243,False,0.0,0.0,6809897652000706414
untrained,72,B,True,right,21.0,2.721579889018957,False,0.0,0.0,13309200162411255227
untrained,73,A,False,left,20.400000000000002,2.2188406492148918,True,0.0,0.0,11298077181303302541
untrained,74,A,False,right,16.8,2.2384731942351856,True,0.0,0.0,15898940932318704249
untrained,75,A,False,right,17.25,2.1354193440527967,True,0.0,0.0,9446288095217820760
untrained,76,B,True,right,16.7,2.3210374942291043,True,0.0,0.0,4444792118107910387
untrained,77,A,False,left,18.150000000000002,2.295283446136076,True,0.0,0.0,11760665455445447708
untrained,78,B,True,left,21.0,2.919280323269045,True,0.0,0.0,14433734879606093702
untrained,79,B,True,right,16.900000000000002,2.2950143380319563,True,0.0,0.0,11962034097135361614
untrained,80,A,False,left,18.6,2.2276602226977844,True,0.0,0.0,14103454093138830682
untrained,81,B,True,right,19.0,2.2534957155763813,True,0.0,0.0,3058341069101028362
untrained,82,B,True,left,16.900000000000002,2.194739790796949,True,0.0,0.0,11411710776944133530
untrained,83,B,True,right,18.05,2.284636074204578,True,0.0,0.0,13117206741551801042
untrained,84,A,False,left,21.0,2.661472241776397,False,0.0,0.0,14236934920450891451
untrained,85,A,False,left,20.75,3.1464062820221916,True,0.0,0.0,13916725323814105022
untrained,86,A,False,right,17.150000000000002,2.364507564288835,True,0.0,0.0,9253627011374872714
untrained,87,B,True,left,18.150000000000002,2.2902932543378225,True,0.0,0.0,13552461229655566480
untrained,88,A,False,left,20.35,2.34832824126972,True,0.0,0.0,12129751842302357015
untrained,89,B,True,left,18.650000000000002,2.30701659203222,True,0.0,0.0,6360286531953877710
untrained,90,B,True,right,20.900000000000002,2.1927203377341136,True,0.0,0.0,5776064459381413560
untrained,91,B,True,left,19.650000000000002,2.55301362228027,True,0.0,0.0,5846413138666010294
untrained,92,A,False,right,21.0,2.832480017940673,False,0.0,0.0,14591664326012872872
untrained,93,B,True,right,20.950000000000003,2.6522642201488114,True,0.0,0.0,366291758735177781
untrained,94,A,False,left,15.4,2.2322159937619186,True,0.0,0.0,9292886191625711453
untrained,95,A,False,left,17.6,2.4013399443219163,True,0.0,0.0,17642120095061439599
untrained,96,B,True,right,15.350000000000001,2.1519519969090384,True,0.0,0.0,1452634000387300855
untrained,97,B,True,right,19.75,2.607231970796049,True,0.0,0.0,3224021166973683626
untrained,98,A,False,right,21.0,2.8807039373260492,True,0.0,0.0,17126459891022568136
untrained,99,B,True,left,21.0,2.7489977187140116,False,0.0,0.0,14192112519789299517
paired,0,B,True,left,18.400000000000002,2.3343926103121215,True,0.0,0.893941048,16602594785676215480
paired,1,B,True,left,16.400000000000002,2.2295401551854894,True,0.0,0.893941048,14845226843314568174
paired,2,B,True,right,18.85,2.2390670125328485,True,0.0,0.893941048,16202474290889111654
paired,3,B,True,right,15.350000000000001,2.207605462650541,True,0.0,0.893941048,11431966289573786852
paired,4,B,True,left,18.55,2.3143527965106996,True,0.0,0.893941048,9181303691843443353
paired,5,B,True,left,18.150000000000002,2.368454596752673,True,0.0,0.893941048,2786711696687395975
paired,6,B,True,left,18.2,2.291223583489054,True,0.0,0.893941048,10281308490766323781
paired,7,B,True,right,16.85,2.1370227242505657,True,0.0,0.893941048,8900827875009446846
paired,8,B,True,left,16.85,2.3756300942678488,True,0.0,0.893941048,1973242098055787001
paired,9,B,True,left,18.35,2.223772573650121,True,0.0,0.893941048,7670285943103047154
paired,10,B,True,left,18.05,2.1133691007821542,True,0.0,0.893941048,11201209933315035376
paired,11,B,True,left,17.900000000000002,2.2011256406360236,True,0.0,0.893941048,8610458728404607396
paired,12,B,True,right,17.55,2.1477519172479567,True,0.0,0.893941048,2375385363273647137
paired,13,B,True,left,17.8,2.2340686346794922,True,0.0,0.893941048,981885059993468548
paired,14,B,True,left,16.25,2.228409227015408,True,0.0,0.893941048,7600433402987605628
paired,15,B,True,right,17.7,2.221403690075606,True,0.0,0.893941048,13253900903732007863
paired,16,B,True,right,15.8,2.172857067638464,True,0.0,0.893941048,12345652654160297521
paired,17,B,True,left,20.0,2.272976994094153,True,0.0,0.893941048,3704147111047221594
paired,18,B,True,right,18.1,2.3012213821175056,True,0.0,0.893941048,11131921651269606358
paired,19,B,True,left,18.7,2.171753597995633,True,0.0,0.893941048,4611090833453546871
paired,20,B,True,left,17.150000000000002,2.1284407500847315,True,0.0,0.893941048,17515524340211383343
paired,21,B,True,left,16.650000000000002,2.2396134829465133,True,0.0,0.893941048,9897623448411995698
paired,22,B,True,left,17.150000000000002,2.107250877970253,True,0.0,0.893941048,18079874976658378345
paired,23,B,True,right,16.85,2.2816320631898623,True,0.0,0.893941048,16048485099602917527
paired,24,B,True,right,17.45,2.325316437075903,True,0.0,0.893941048,1726259840330518605
paired,25,B,True,right,16.55,2.1608681706914727,True,0.0,0.893941048,3544841710583262875
paired,26,B,True,left,16.650000000000002,2.243151528828827,True,0.0,0.893941048,828263001218212363
paired,27,B,True,right,16.650000000000002,2.12239513870412,True,0.0,0.893941048,8685842461156227053
paired,28,B,True,right,16.35,2.2104953189583596,True,0.0,0.893941048,17333678764022249875
paired,29,B,True,right,18.5,2.368637434069686,True,0.0,0.893941048,9058646476447267692
paired,30,B,True,right,19.85,2.3555667416729915,True,0.0,0.893941048,9184501251967200635
paired,31,B,True,right,15.850000000000001,2.1098471035214783,True,0.0,0.893941048,5214623415586067563
paired,32,B,True,left,14.3,2.075151998984548,True,0.0,0.893941048,1686667651034166005
paired,33,B,True,right,21.0,1.7773737647752852,False,0.0,0.893941048,473704770457458821
paired,34,B,True,left,17.150000000000002,2.280002953941791,True,0.0,0.893941048,1409677496807663173
paired,35,B,True,right,18.2,2.189198530722957,True,0.0,0.893941048,12060206785973794369
paired,36,B,True,right,17.3,2.2946725325642454,True,0.0,0.893941048,7450135775944392320
paired,37,B,True,left,18.650000000000002,2.359919952318226,True,0.0,0.893941048,13554606665200169116
paired,38,B,True,left,21.0,2.2416096453115153,False,0.0,0.893941048,12558361442995330586
paired,39,B,True,right,17.45,2.0717925693547783,True,0.0,0.893941048,8937737290434368329
paired,40,B,True,left,18.25,2.3160921816734126,True,0.0,0.893941048,5224888771856653578
paired,41,B,True,right,19.450000000000003,2.225876407889052,True,0.0,0.893941048,4585316720409325477
