fly_id,session,condition,weight_a,weight_b
43,1,untrained,0.0,0.0
43,2,untrained,0.0,0.0
43,3,untrained,0.0,0.0
44,0,untrained,0.0,0.0
44,1,untrained,0.0,0.0
44,2,untrained,0.0,0.0
44,3,untrained,0.0,0.0
45,0,untrained,0.0,0.0
45,1,untrained,0.0,0.0
45,2,untrained,0.0,0.0
45,3,untrained,0.0,0.0
46,0,untrained,0.0,0.0
46,1,untrained,0.0,0.0
46,2,untrained,0.0,0.0
46,3,untrained,0.0,0.0
47,0,untrained,0.0,0.0
47,1,untrained,0.0,0.0
47,2,untrained,0.0,0.0
47,3,untrained,0.0,0.0
48,0,untrained,0.0,0.0
48,1,untrained,0.0,0.0
48,2,untrained,0.0,0.0
48,3,untrained,0.0,0.0
49,0,untrained,0.0,0.0
49,1,untrained,0.0,0.0
49,2,untrained,0.0,0.0
49,3,untrained,0.0,0.0
50,0,untrained,0.0,0.0
50,1,untrained,0.0,0.0
50,2,untrained,0.0,0.0
50,3,untrained,0.0,0.0
51,0,untrained,0.0,0.0
51,1,untrained,0.0,0.0
51,2,untrained,0.0,0.0
51,3,untrained,0.0,0.0
52,0,untrained,0.0,0.0
52,1,untrained,0.0,0.0
52,2,untrained,0.0,0.0
52,3,untrained,0.0,0.0
53,0,untrained,0.0,0.0
53,1,untrained,0.0,0.0
53,2,untrained,0.0,0.0
53,3,untrained,0.0,0.0
54,0,untrained,0.0,0.0
54,1,untrained,0.0,0.0
54,2,untrained,0.0,0.0
54,3,untrained,0.0,0.0
55,0,untrained,0.0,0.0
55,1,untrained,0.0,0.0
55,2,untrained,0.0,0.0
55,3,untrained,0.0,0.0
56,0,untrained,0.0,0.0
56,1,untrained,0.0,0.0
56,2,untrained,0.0,0.0
56,3,untrained,0.0,0.0
57,0,untrained,0.0,0.0
57,1,untrained,0.0,0.0
57,2,untrained,0.0,0.0
57,3,untrained,0.0,0.0
58,0,untrained,0.0,0.0
58,1,untrained,0.0,0.0
58,2,untrained,0.0,0.0
58,3,untrained,0.0,0.0
59,0,untrained,0.0,0.0
59,1,untrained,0.0,0.0
59,2,untrained,0.0,0.0
59,3,untrained,0.0,0.0
60,0,untrained,0.0,0.0
60,1,untrained,0.0,0.0
60,2,untrained,0.0,0.0
60,3,untrained,0.0,0.0
61,0,untrained,0.0,0.0
61,1,untrained,0.0,0.0
61,2,untrained,0.0,0.0
61,3,untrained,0.0,0.0
62,0,untrained,0.0,0.0
62,1,untrained,0.0,0.0
62,2,untrained,0.0,0.0
62,3,untrained,0.0,0.0
63,0,untrained,0.0,0.0
63,1,untrained,0.0,0.0
63,2,untrained,0.0,0.0
63,3,untrained,0.0,0.0
64,0,untrained,0.0,0.0
64,1,untrained,0.0,0.0
64,2,untrained,0.0,0.0
64,3,untrained,0.0,0.0
65,0,untrained,0.0,0.0
65,1,untrained,0.0,0.0
65,2,untrained,0.0,0.0
65,3,untrained,0.0,0.0
66,0,untrained,0.0,0.0
66,1,untrained,0.0,0.0
66,2,untrained,0.0,0.0
66,3,untrained,0.0,0.0
67,0,untrained,0.0,0.0
67,1,untrained,0.0,0.0
67,2,untrained,0.0,0.0
67,3,untrained,0.0,0.0
68,0,untrained,0.0,0.0
68,1,untrained,0.0,0.0
68,2,untrained,0.0,0.0
68,3,untrained,0.0,0.0
69,0,untrained,0.0,0.0
69,1,untrained,0.0,0.0
69,2,untrained,0.0,0.0
69,3,untrained,0.0,0.0
70,0,untrained,0.0,0.0
70,1,untrained,0.0,0.0
70,2,untrained,0.0,0.0
70,3,untrained,0.0,0.0
71,0,untrained,0.0,0.0
71,1,untrained,0.0,0.0
71,2,untrained,0.0,0.0
71,3,untrained,0.0,0.0
72,0,untrained,0.0,0.0
72,1,untrained,0.0,0.0
72,2,untrained,0.0,0.0
72,3,untrained,0.0,0.0
73,0,untrained,0.0,0.0
73,1,untrained,0.0,0.0
73,2,untrained,0.0,0.0
73,3,untrained,0.0,0.0
74,0,untrained,0.0,0.0
74,1,untrained,0.0,0.0
74,2,untrained,0.0,0.0
74,3,untrained,0.0,0.0
75,0,untrained,0.0,0.0
75,1,untrained,0.0,0.0
75,2,untrained,0.0,0.0
75,3,untrained,0.0,0.0
76,0,untrained,0.0,0.0
76,1,untrained,0.0,0.0
76,2,untrained,0.0,0.0
76,3,untrained,0.0,0.0
77,0,untrained,0.0,0.0
77,1,untrained,0.0,0.0
77,2,untrained,0.0,0.0
77,3,untrained,0.0,0.0
78,0,untrained,0.0,0.0
78,1,untrained,0.0,0.0
78,2,untrained,0.0,0.0
78,3,untrained,0.0,0.0
79,0,untrained,0.0,0.0
79,1,untrained,0.0,0.0
79,2,untrained,0.0,0.0
79,3,untrained,0.0,0.0
80,0,untrained,0.0,0.0
80,1,untrained,0.0,0.0
80,2,untrained,0.0,0.0
80,3,untrained,0.0,0.0
81,0,untrained,0.0,0.0
81,1,untrained,0.0,0.0
81,2,untrained,0.0,0.0
81,3,untrained,0.0,0.0
82,0,untrained,0.0,0.0
82,1,untrained,0.0,0.0
82,2,untrained,0.0,0.0
82,3,untrained,0.0,0.0
83,0,untrained,0.0,0.0
83,1,untrained,0.0,0.0
83,2,untrained,0.0,0.0
83,3,untrained,0.0,0.0
84,0,untrained,0.0,0.0
84,1,untrained,0.0,0.0
84,2,untrained,0.0,0.0
84,3,untrained,0.0,0.0
85,0,untrained,0.0,0.0
85,1,untrained,0.0,0.0
85,2,untrained,0.0,0.0
85,3,untrained,0.0,0.0
86,0,untrained,0.0,0.0
86,1,untrained,0.0,0.0
86,2,untrained,0.0,0.0
86,3,untrained,0.0,0.0
87,0,untrained,0.0,0.0
87,1,untrained,0.0,0.0
87,2,untrained,0.0,0.0
87,3,untrained,0.0,0.0
88,0,untrained,0.0,0.0
88,1,untrained,0.0,0.0
88,2,untrained,0.0,0.0
88,3,untrained,0.0,0.0
89,0,untrained,0.0,0.0
89,1,untrained,0.0,0.0
89,2,untrained,0.0,0.0
89,3,untrained,0.0,0.0
90,0,untrained,0.0,0.0
90,1,untrained,0.0,0.0
90,2,untrained,0.0,0.0
90,3,untrained,0.0,0.0
91,0,untrained,0.0,0.0
91,1,untrained,0.0,0.0
91,2,untrained,0.0,0.0
91,3,untrained,0.0,0.0
92,0,untrained,0.0,0.0
92,1,untrained,0.0,0.0
92,2,untrained,0.0,0.0
92,3,untrained,0.0,0.0
93,0,untrained,0.0,0.0
93,1,untrained,0.0,0.0
93,2,untrained,0.0,0.0
93,3,untrained,0.0,0.0
94,0,untrained,0.0,0.0
94,1,untrained,0.0,0.0
94,2,untrained,0.0,0.0
94,3,untrained,0.0,0.0
95,0,untrained,0.0,0.0
95,1,untrained,0.0,0.0
95,2,untrained,0.0,0.0
95,3,untrained,0.0,0.0
96,0,untrained,0.0,0.0
96,1,untrained,0.0,0.0
96,2,untrained,0.0,0.0
96,3,untrained,0.0,0.0
97,0,untrained,0.0,0.0
97,1,untrained,0.0,0.0
97,2,untrained,0.0,0.0
97,3,untrained,0.0,0.0
98,0,untrained,0.0,0.0
98,1,untrained,0.0,0.0
98,2,untrained,0.0,0.0
98,3,untrained,0.0,0.0
99,0,untrained,0.0,0.0
99,1,untrained,0.0,0.0
99,2,untrained,0.0,0.0
99,3,untrained,0.0,0.0
0,0,paired,0.0,0.0
0,1,paired,0.0,0.55
0,2,paired,0.0,0.78958
0,3,paired,0.0,0.893941048
1,0,paired,0.0,0.0
1,1,paired,0.0,0.55
1,2,paired,0.0,0.78958
1,3,paired,0.0,0.893941048
2,0,paired,0.0,0.0
2,1,paired,0.0,0.55
2,2,paired,0.0,0.78958
2,3,paired,0.0,0.893941048
3,0,paired,0.0,0.0
3,1,paired,0.0,0.55
3,2,paired,0.0,0.78958
3,3,paired,0.0,0.893941048
4,0,paired,0.0,0.0
4,1,paired,0.0,0.55
4,2,paired,0.0,0.78958
4,3,paired,0.0,0.893941048
5,0,paired,0.0,0.0
5,1,paired,0.0,0.55
5,2,paired,0.0,0.78958
5,3,paired,0.0,0.893941048
6,0,paired,0.0,0.0
6,1,paired,0.0,0.55
6,2,paired,0.0,0.78958
6,3,paired,0.0,0.893941048
7,0,paired,0.0,0.0
7,1,paired,0.0,0.55
7,2,paired,0.0,0.78958
7,3,paired,0.0,0.893941048
8,0,paired,0.0,0.0
8,1,paired,0.0,0.55
8,2,paired,0.0,0.78958
8,3,paired,0.0,0.893941048
9,0,paired,0.0,0.0
9,1,paired,0.0,0.55
9,2,paired,0.0,0.78958
9,3,paired,0.0,0.893941048
10,0,paired,0.0,0.0
10,1,paired,0.0,0.55
10,2,paired,0.0,0.78958
10,3,paired,0.0,0.893941048
11,0,paired,0.0,0.0
11,1,paired,0.0,0.55
11,2,paired,0.0,0.78958
11,3,paired,0.0,0.893941048
12,0,paired,0.0,0.0
12,1,paired,0.0,0.55
12,2,paired,0.0,0.78958
12,3,paired,0.0,0.893941048
13,0,paired,0.0,0.0
13,1,paired,0.0,0.55
13,2,paired,0.0,0.78958
13,3,paired,0.0,0.893941048
14,0,paired,0.0,0.0
14,1,paired,0.0,0.55
14,2,paired,0.0,0.78958
14,3,paired,0.0,0.893941048
15,0,paired,0.0,0.0
15,1,paired,0.0,0.55
15,2,paired,0.0,0.78958
15,3,paired,0.0,0.893941048
16,0,paired,0.0,0.0
16,1,paired,0.0,0.55
16,2,paired,0.0,0.78958
16,3,paired,0.0,0.893941048
17,0,paired,0.0,0.0
17,1,paired,0.0,0.55
17,2,paired,0.0,0.78958
17,3,paired,0.0,0.893941048
18,0,paired,0.0,0.0
18,1,paired,0.0,0.55
18,2,paired,0.0,0.78958
18,3,paired,0.0,0.893941048
19,0,paired,0.0,0.0
19,1,paired,0.0,0.55
19,2,paired,0.0,0.78958
19,3,paired,0.0,0.893941048
20,0,paired,0.0,0.0
20,1,paired,0.0,0.55
20,2,paired,0.0,0.78958
20,3,paired,0.0,0.893941048
21,0,paired,0.0,0.0
21,1,paired,0.0,0.55
21,2,paired,0.0,0.78958
21,3,paired,0.0,0.893941048
22,0,paired,0.0,0.0
22,1,paired,0.0,0.55
22,2,paired,0.0,0.78958
22,3,paired,0.0,0.893941048
23,0,paired,0.0,0.0
23,1,paired,0.0,0.55
23,2,paired,0.0,0.78958
23,3,paired,0.0,0.893941048
24,0,paired,0.0,0.0
24,1,paired,0.0,0.55
24,2,paired,0.0,0.78958
24,3,paired,0.0,0.893941048
25,0,paired,0.0,0.0
25,1,paired,0.0,0.55
25,2,paired,0.0,0.78958
25,3,paired,0.0,0.893941048
26,0,paired,0.0,0.0
26,1,paired,0.0,0.55
26,2,paired,0.0,0.78958
26,3,paired,0.0,0.893941048
27,0,paired,0.0,0.0
27,1,paired,0.0,0.55
27,2,paired,0.0,0.78958
27,3,paired,0.0,0.893941048
28,0,paired,0.0,0.0
28,1,paired,0.0,0.55
28,2,paired,0.0,0.78958
28,3,paired,0.0,0.893941048
29,0,paired,0.0,0.0
29,1,paired,0.0,0.55
29,2,paired,0.0,0.78958
29,3,paired,0.0,0.893941048
30,0,paired,0.0,0.0
30,1,paired,0.0,0.55
30,2,paired,0.0,0.78958
30,3,paired,0.0,0.893941048
31,0,paired,0.0,0.0
31,1,paired,0.0,0.55
31,2,paired,0.0,0.78958
31,3,paired,0.0,0.893941048
32,0,paired,0.0,0.0
32,1,paired,0.0,0.55
32,2,paired,0.0,0.78958
32,3,paired,0.0,0.893941048
33,0,paired,0.0,0.0
33,1,paired,0.0,0.55
33,2,paired,0.0,0.78958
33,3,paired,0.0,0.893941048
34,0,paired,0.0,0.0
34,1,paired,0.0,0.55
34,2,paired,0.0,0.78958
34,3,paired,0.0,0.893941048
35,0,paired,0.0,0.0
35,1,paired,0.0,0.55
35,2,paired,0.0,0.78958
35,3,paired,0.0,0.893941048
36,0,paired,0.0,0.0
36,1,paired,0.0,0.55
36,2,paired,0.0,0.78958
36,3,paired,0.0,0.893941048
37,0,paired,0.0,0.0
37,1,paired,0.0,0.55
37,2,paired,0.0,0.78958
37,3,paired,0.0,0.893941048
38,0,paired,0.0,0.0
38,1,paired,0.0,0.55
38,2,paired,0.0,0.78958
38,3,paired,0.0,0.893941048
39,0,paired,0.0,0.0
39,1,paired,0.0,0.55
39,2,paired,0.0,0.78958
39,3,paired,0.0,0.893941048
40,0,paired,0.0,0.0
40,1,paired,0.0,0.55
40,2,paired,0.0,0.78958
40,3,paired,0.0,0.893941048
41,0,paired,0.0,0.0
41,1,paired,0.0,0.55
41,2,paired,0.0,0.78958
41,3,paired,0.0,0.893941048
42,0,paired,0.0,0.0
42,1,paired,0.0,0.55
42,2,paired,0.0,0.78958
