condition,delay_h,mean,std,count,sem,flies,responders,target,other,learning_gain_mean,learning_gain_sd,pretest_value_mean,pretest_value_sd,responder_latency_mean_s,responder_latency_sd_s
paired,0.5,-0.5,0.7071067811865476,4,0.3535533905932738,16,16,4,12,0.9405324326320841,0.3532499791644975,-0.22189086057607105,0.04989588794389803,5.788075,0.06700361681780062
paired,24.0,0.75,0.28867513459481287,4,0.14433756729740643,16,16,14,2,1.0368030473690055,0.4111637776241118,0.33668265333408715,0.0785347740965016,5.77934375,0.048923695264496886
