condition,n,a,b,nonresponse,completed,pi_responders,pi_all,ci95_low,ci95_high,pi_all_ci95_low,pi_all_ci95_high,percent_b_responders,percent_b_all,completion_rate,median_latency_s,chance_p
dan_silenced,100,47,39,14,86,-0.09302325581395349,-0.08,-0.29496810635080695,0.1168766081714101,-0.26,0.1,45.348837209302324,39.0,0.86,0.9377500000000001,0.45054757600159084
paired,100,23,68,9,91,0.4945054945054945,0.45,0.29840642911351756,0.6505456549128645,0.28,0.61,74.72527472527473,68.0,0.91,0.9482,2.5221536534654515e-06
unpaired,100,43,42,15,85,-0.011764705882352941,-0.01,-0.2191832959745722,0.19667128382902055,-0.19,0.17,49.411764705882355,42.0,0.85,0.8989,1.0
untrained,100,46,40,14,86,-0.06976744186046512,-0.06,-0.27308256919902263,0.13951394556447494,-0.24,0.12,46.51162790697674,40.0,0.86,0.9395,0.5900356111485566
